WKT,gid,access,addr:housename,addr:housenumber,amenity,brand,building,ele,highway,layer,name,operator,shop,tourism,tid,territory_name
"POINT (128.860120682063 35.2304001957149)","5169109548",,,,cafe,,,,,,카페치오,,,,,
"POINT (128.863176382062 35.2295621957149)","5130438493",,,,cafe,스타벅스,,,,,스타벅스,(주)스타벅스커피 코리아,,,,
"POINT (128.864552682062 35.2296504957149)","5169109575",,,,cafe,,,,,,파리바게트,,,,,
"POINT (128.867348182062 35.2371407957143)","6286278618",,,,cafe,스타벅스,,,,,스타벅스,,,,,
"POINT (128.87966518206 35.2279589957151)","6335253086",,,"20",cafe,,,,,,쉐어테이블,,,,,
"POINT (128.932800982052 35.2201844957157)","4627677433",,,,cafe,,,,,,Cafeteria,,,,,
"POINT (128.894334582058 35.2276204957151)","5604688521",,,,cafe,,,,,,투썸플레이스 김해대로점,,,,,
"POINT (128.898796582057 35.228510095715)","4631782099",,,,cafe,,,,,,메이릴리(May lily),,,,,
"POINT (128.954899882049 35.1669098957203)","4658618998",,,,cafe,,,,,,EDIYA COFFEE,,,,,
"POINT (128.94687378205 35.1727163957198)","6433181962",,,,cafe,,,,,,Hollys Coffee,,,,,
"POINT (128.983482582045 35.1639396957206)","4238855499",,,,cafe,스타벅스,,,,,스타벅스 사상역점,(주)스타벅스커피 코리아,,,,
"POINT (128.987198082045 35.1862976957187)","7437090185",,,,cafe,,,,,,모라동 702-1,,,,,
"POINT (128.996665782044 35.1992492957176)","7437246286",,,935-11,cafe,,,,,,초,,,,,
"POINT (129.000540682043 35.1978133957177)","4633837619",,,,cafe,,,,,,파스쿠치,,,,,
"POINT (128.976598982046 35.2146958957162)","4633838126",,,,cafe,,,,,,헤리스커피,,,,,
"POINT (128.981242182046 35.2131187957164)","4712828317",,,,cafe,,,,,,,,,,,
"POINT (128.903379582056 35.2487257957133)","6255275303",,,,cafe,,,,,,한획,,,,,
"POINT (128.902837482057 35.2504593957131)","6255271253",,,,cafe,,,,,,아지트,,,,,
"POINT (128.824293582068 35.3849590957015)","6811276865",,,,cafe,,,,,,Assemble Coffee,,,,,
"POINT (128.919089982054 35.3643424957033)","5365978122",,,,cafe,,,,,,매화담 카페,,,,,
"POINT (129.053698282036 35.1582042957211)","5994313785",,,,cafe,,,,,,eobeullim,,,,,
"POINT (129.051469982036 35.1644152957206)","5292823207",,,,cafe,카페베네,,,,,카페베네,Caffe Bene,,,,
"POINT (129.053265882036 35.1642232957206)","5283198880",,,,cafe,,,,,,이디야커피,,,,,
"POINT (129.054082582036 35.1644281957206)","5283198871",,,,cafe,,,,,,,,,,,
"POINT (129.051015282036 35.1671767957203)","5296767126",,,,cafe,,,,,,탐앤탐스,,,,,
"POINT (129.057904482035 35.1563826957213)","3785217646",,,,cafe,스타벅스,,,,,Starbucks Coffee,,,,,
"POINT (129.057760882035 35.1582968957211)","6321678879",,,,cafe,,,,,,,,,,,
"POINT (129.060128982035 35.1578366957211)","4724283674",,,,cafe,스타벅스,,,,,스타벅스,(주)스타벅스커피 코리아,,,,
"POINT (129.061287782035 35.1578520957211)","4724283671",,,,cafe,,,,,,이디야 커피,,,,,
"POINT (129.061963682034 35.1578827957211)","4724283670",,,,cafe,스타벅스,,,,,스타벅스,(주)스타벅스커피 코리아,,,,
"POINT (129.064614282034 35.159220095721)","5321811121",,,,cafe,,,,,,카페숨은,,,,,
"POINT (129.067288282034 35.1932629957181)","4721486679",,,,cafe,,,,,,베스킨라빈스,,,,,
"POINT (129.061634082034 35.1960795957178)","4956979446",,,,cafe,스타벅스,,,,,스타벅스 사직구장점,(주)스타벅스커피 코리아,,,,
"POINT (129.074003382033 35.1752005957196)","6649694211",,,11번길46,cafe,,,,,,계란조심,,,,,
"POINT (129.09412658203 35.1745064957197)","4636800064",,,2130-34,cafe,,,,,,FishCa,,,,,
"POINT (129.075880682032 35.1792023957193)","7241587386",,,,cafe,,,,,,coffee it house,,,,,
"POINT (129.077669182032 35.182269895719)","4634013251",,,,cafe,,,,,,,,,,,
"POINT (129.076979082032 35.1958339957179)","4629891303",,,,cafe,,,,,,커피긱스,,,,,
"POINT (129.083199282031 35.193806295718)","4629891158",,,,cafe,,,,,,베이글 카페,,,,,
"POINT (129.085081782031 35.194012095718)","4629759177",,,,cafe,,,,,,루이스 로스터리,,,,,
"POINT (129.080377382032 35.1948284957179)","4629891168",,,,cafe,,,,,,데일리빈 카페,,,,,
"POINT (129.080974282032 35.1963241957178)","4629891178",,,,cafe,스타벅스,,,,,스타벅스 부산교대역점,(주)스타벅스커피 코리아,,,,
"POINT (129.082739382032 35.1957263957178)","4629759176",,,,cafe,,,,,,카페 원플러스원,,,,,
"POINT (129.083511782031 35.1971093957177)","4629989128",,,,cafe,카페베네,,,,,카페베네,Caffe Bene,,,,
"POINT (129.099831882029 35.1927551957181)","6367408888",,,"19",cafe,,,,,,윤카롱,,,,,
"POINT (129.100956882029 35.1923082957182)","6367420689",,,12-15,cafe,,,,,,코모도테이블,,,,,
"POINT (129.076182082032 35.2097034957167)","4651797907",,,,cafe,,,,,,카페 티아모,,,,,
"POINT (129.083694582031 35.2103424957166)","4636753952",,,,cafe,,,,,,씨트론,,,,,
"POINT (129.086384882031 35.2193406957158)","4681140489",,,,cafe,,,,,,모모스,,,,,
"POINT (129.086505882031 35.2240094957154)","5804463117",,,,cafe,스타벅스,,,,,스타벅스,(주)스타벅스커피 코리아,,,,
"POINT (129.085391182031 35.2242422957154)","6045526009",,,,cafe,,,,,,꼬마대통령,,,,,
"POINT (129.086178182031 35.228572695715)","4655133846",,,,cafe,,,,,,Nohs Coffee,,,,,
"POINT (129.084906582031 35.2307152957148)","4939039521",,,,cafe,,,,,,,,,,,
"POINT (129.084922282031 35.2309888957148)","4920032321",,,,cafe,,,,,,,,,,,
"POINT (129.084516082031 35.2321108957147)","4632756316",,,,cafe,스타벅스,,,,,스타벅스 부산대정문점,(주)스타벅스커피 코리아,,,,
"POINT (129.085226282031 35.2320284957147)","7139024885",,,,cafe,,,,,,C&F Cafe,,,,,
"POINT (129.087207982031 35.2328096957146)","4631580949",,,"94",cafe,,,,,,제이스퀘어,,,,,
"POINT (129.081632782032 35.2343988957145)","4673859846",,,,cafe,,,,,,커피빌리지,,,,,
"POINT (129.082933682032 35.2370151957143)","4673972346",,,,cafe,,,,,,카페 두,,,,,
"POINT (129.083127282031 35.2369985957143)","4673992297",,,,cafe,,,,,,후르츠바스켓,,,,,
"POINT (129.082971482032 35.2371811957143)","4673992303",,,,cafe,,,,,,커피몬스터 부산대북문점,,,,,
"POINT (129.083781782031 35.2368479957143)","4673992354",,,,cafe,,,,,,카페 105,,,,,
"POINT (129.082953082032 35.2373938957143)","4673972355",,,,cafe,,,,,,노스커피 부산대북문점,,,,,
"POINT (129.082895282032 35.2377655957142)","4673992306",,,,cafe,,,,,,카메말리,,,,,
"POINT (129.123133682026 35.1584047957211)","5892406485",,,,cafe,,,,,,,,,,,
"POINT (129.126990482025 35.159438695721)","5892650187",,,,cafe,,,,,,,,,,,
"POINT (129.128699182025 35.1636911957206)","6413815777",,,,cafe,,,,,,Grotto Caffé,,,,,
"POINT (129.132484282025 35.1667737957204)","4208764035",,,,cafe,카페베네,,,,,카페베네,Caffe Bene,,,,
"POINT (129.128407682025 35.1717073957199)","4526476190",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (129.128076482025 35.1721815957199)","4526416792",,,,cafe,,,,,,띵크커피부산센텀점,,,,,
"POINT (129.143316782023 35.1568981957212)","4653810345",,,,cafe,스타벅스,,,,,스타벅스 신세계마린시티점,(주)스타벅스커피 코리아,,,,
"POINT (129.134122482024 35.1666244957204)","4810846721",,,,cafe,,,,,,투썸플레이스,,,,,
"POINT (129.126823282025 35.1885857957185)","4636807156",,,,cafe,,,,,,엔제리너스,,,,,
"POINT (129.126767882025 35.1891872957184)","4636807166",,,,cafe,,,,,,베스킨라빈스,,,,,
"POINT (129.126532682025 35.1897112957184)","4636762292",,,,cafe,카페베네,,,,,카페베네,Caffe Bene,,,,
"POINT (129.127827382025 35.1916382957182)","4636775553",,,,cafe,,,,,,파리바게트,,,,,
"POINT (129.156415782021 35.1605406957209)","6479716285",,,,cafe,,,,,,Coffee Smith,,,,,
"POINT (129.158860582021 35.159951095721)","6479716485",,,,cafe,,,,,,Baekmidang,,,,,
"POINT (129.159052982021 35.159740195721)","6477757385",,,,cafe,,,,,,Starbuck,,,,,
"POINT (129.159862182021 35.159631295721)","4426268903",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (129.161697382021 35.159873095721)","5630247221",,,,cafe,,,,,,,,,,,
"POINT (129.16216098202 35.160086895721)","4537711648",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (129.161226182021 35.1607511957209)","3785255106",,,,cafe,,,,,,Cafe Creamà,,,,,
"POINT (129.16446348202 35.1614952957208)","3785255110",,,,cafe,,,,,,Homestead Coffee,,,,,
"POINT (129.160413882021 35.1619374957208)","3785255107",,,,cafe,,,,,,Caffé Pascucci,,,,,
"POINT (129.159523882021 35.1626221957207)","6321677487",,,,cafe,,,,,,,,,,,
"POINT (129.159713982021 35.1630320957207)","6105049591",,,,cafe,,,,,,,,,,,
"POINT (129.158726482021 35.1634049957207)","5138979221",,,,cafe,,,,,,,,,,,
"POINT (129.157175482021 35.1645927957206)","5893757987",,,,cafe,,,,,,,,,,,
"POINT (129.16441988202 35.1633374957207)","5872882485",,,,cafe,,,,,,,,,,,
"POINT (129.170623082019 35.1673875957203)","5071238223",,,,cafe,,,,,,,,,,,
"POINT (129.173227582019 35.1695947957201)","4908416122",,,,cafe,,,,,,,,,,,
"POINT (129.175469682019 35.1683098957202)","5042141522",,,,cafe,,,,,,,,,,,
"POINT (129.175405282019 35.1695253957201)","5035997121",,,,cafe,,,,,,,,,,,
"POINT (129.176209582019 35.1693302957201)","5069584621",,,,cafe,스타벅스,,,,,,,,,,
"POINT (129.183307882018 35.1617095957208)","4904130151",,,,cafe,,,,,,추리문학관,,,,,
"POINT (129.191356082016 35.1605824957209)","5883273585",,,,cafe,,,,,,,,,,,
"POINT (129.191495782016 35.1606540957209)","5883269289",,,,cafe,,,,,,,,,,,
"POINT (129.191246482016 35.1607720957209)","5883249886",,,,cafe,,,,,,,,,,,
"POINT (129.153954282022 35.2324231957147)","6854520585",,,,cafe,,,,,,,,,,,
"POINT (129.156206582021 35.2311234957148)","6840942894",,,,cafe,,,,,,,,,,,
"POINT (129.156334482021 35.2315039957148)","6839100085",,,,cafe,,,,,,,,,,,
"POINT (129.155897682021 35.2319071957147)","6840942895",,,,cafe,,,,,,,,,,,
"POINT (129.09161688203 35.2577257957125)","4757757643",,,"1942",cafe,,,,,,엔제리너스 부산두실역,,,,,
"POINT (129.09246668203 35.2709934957114)","4633756748",,,,cafe,,,,,,파리바케트카페,,,,,
"POINT (129.09198468203 35.2740055957111)","3785295535",,,,cafe,,,,,,Welkin Espresso,,,,,
"POINT (129.09291568203 35.2719717957113)","4631022209",,,"2102",cafe,,,,,,자스민커피(Jasmin),,,,,
"POINT (129.09286488203 35.2730681957112)","5052583721",,,,cafe,,,,,,,,,,,
"POINT (129.204812082015 35.1809243957191)","5104697422",,,,cafe,,,,,,,,,,,
"POINT (129.210832782014 35.1842015957189)","5903253288",,,,cafe,스타벅스,,,,,스타벅스 동부산DT점,(주)스타벅스커피 코리아,,,,
"POINT (129.220148482012 35.1904006957183)","3778890850",,,,cafe,,,,,,,,,,,
"POINT (129.233447682011 35.2621069957121)","5486309121",,,,cafe,,,,,,,,,,,
"POINT (129.233555782011 35.2627811957121)","4964770121",,,,cafe,,,,,,,,,,,
"POINT (129.23409128201 35.263514695712)","5275188714",,,,cafe,,,,,,토스트,,,,,
"POINT (129.263273682006 35.3174285957073)","6466237796",,,"31",cafe,,,,,,태양을가득히,,,,,
"POINT (129.265307182006 35.3201349957071)","6466237829",,,"238",cafe,,,,,,정훈희와 김태화의 꽃밭에서,,,,,
"POINT (129.266177382006 35.3207237957071)","6466237833",,,,cafe,,,,,,경성코페,,,,,
"POINT (129.270057982005 35.3225867957069)","4581612791",,,"286",cafe,,,,,,웨이브온 커피,,,,,
"POINT (129.027916082039 35.3383043957055)","6191275007",,,,cafe,,,,,,Tomntoms Caffee,,,,,
"POINT (129.031434582039 35.3402430957054)","6179877387",,,,cafe,,,,,,소소한,,,,,
"POINT (129.032130882039 35.3399790957054)","6760877074",,,,cafe,,,,,,다감,,,,,
"POINT (129.16565888202 35.3345824957059)","3602546596",,,,cafe,,,,,,,,,,,
"POINT (129.155326682021 35.3782990957021)","4631504245",,,"883",cafe,카페베네,,,,,카페베네 덕계평산점,Caffe Bene,,,,
"POINT (129.16558958202 35.4128142956992)","4631205165",,,,cafe,,,,,,파스쿠찌,,,,,
"POINT (129.16698478202 35.4135246956991)","4633750821",,,,cafe,,,,,,정항우케익,,,,,
"POINT (129.16771748202 35.4131224956991)","4631206307",,,,cafe,,,,,,코야커피,,,,,
"POINT (129.16813338202 35.414405595699)","4631208489",,,,cafe,,,,,,엔제리너스,,,,,
"POINT (129.080950882032 35.4825223956932)","4529613910",,,"1673",cafe,,,,,,무릉도원,,,,,
"POINT (128.941609582051 35.5615990956864)","4484795389",,,,cafe,,,,,,카페테라스,,,,,
"POINT (128.753889782077 35.8112264956652)","4637598442",,,,cafe,,,,,,A Twosome Place,,,,,
"POINT (128.709482382084 35.8327480956634)","4360930889",,,652길 65,cafe,,,,,,,,,,,
"POINT (128.695426582085 35.837796795663)","4629870182",,,,cafe,,,,,,Coffe Paris,,,,,
"POINT (128.722390582082 35.8223003956643)","6494158678",,,,cafe,,,,,,마시그레이,,,,,
"POINT (128.722271082082 35.8228070956642)","6489902040",,,,cafe,,,,,,이디야커피 성암점,,,,,
"POINT (128.726002582081 35.8248851956641)","4634861622",,,,cafe,,,,,,엔젤리너스,,,,,
"POINT (128.728696282081 35.8243640956641)","6494333864",,,,cafe,,,,,,오승은의 Red cafet,,,,,
"POINT (128.718524582082 35.8274553956638)","6490191795",,,,cafe,,,,,,베리트로스팅하우스,,,,,
"POINT (128.718902082082 35.8275263956638)","6482673216",,,,cafe,,,,,,아틀리에 빈 중산점,,,,,
"POINT (128.719014482082 35.8280746956638)","6490189483",,,,cafe,,,,,,커피베이 경산중산점,,,,,
"POINT (128.719676982082 35.8296765956636)","6490039646",,,,cafe,,,,,,몬스터커피 경산중산점,,,,,
"POINT (128.719885582082 35.8298857956636)","6490039649",,,,cafe,,,,,,빠리뱅드,,,,,
"POINT (128.719674482082 35.8301310956636)","6490039634",,,,cafe,,,,,,퍼피라운지애견카페,,,,,
"POINT (128.719602082082 35.8304259956636)","6482673213",,,,cafe,,,,,,투썸플레이스 중산점,,,,,
"POINT (128.723361682082 35.8264468956639)","6494158671",,,,cafe,,,,,,cafe900,,,,,
"POINT (128.720533982082 35.8344361956632)","6494158672",,,,cafe,,,,,,스타벅스 경산이마트점,,,,,
"POINT (128.757785582077 35.8173089956647)","4634536109",,,,cafe,,,,,,더아일커피앤네일,,,,,
"POINT (128.753489482077 35.8322203956634)","4647502389",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (128.753138382077 35.837133095663)","4652702358",,,,cafe,스타벅스,,,,,스타벅스영남대점,(주)스타벅스커피 코리아,,,,
"POINT (128.757659482077 35.8330437956634)","3846434885",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (128.721143882082 35.837705995663)","6609260891",,,,cafe,,,,,,하바나 익스프레스 사월점,,,,,
"POINT (128.760028082076 35.8315534956635)","3846434884",,,,cafe,,,,,,,,,,,
"POINT (128.765162282076 35.8400406956628)","4657057386",,,,cafe,,,,,,Frutta is... 생과일카페,,,,,
"POINT (128.761754782076 35.8414573956627)","4683653635",,,,cafe,,,,,,별다방 미스리,,,,,
"POINT (128.765765782076 35.8398386956628)","4657057589",,,,cafe,,,,,,Coffee is...,,,,,
"POINT (128.766705282076 35.8393952956628)","4657057591",,,,cafe,,,,,,GET A COFFEE,,,,,
"POINT (129.190087882017 35.5721930956855)","4721510363",,,,cafe,,,,,,팬도로시,,,,,
"POINT (129.189609182017 35.5743864956853)","4721510370",,,,cafe,,,,,,팬도로시,,,,,
"POINT (129.228357282011 35.5613817956864)","4634481923",,,,cafe,,,,,,엔젤리너스,,,,,
"POINT (129.203994782015 35.5772854956851)","4629973520",,,,cafe,,,,,,카페 메이플,,,,,
"POINT (129.317043881999 35.5461865956877)","4637333947",,,,cafe,,,,,,LOW 308,,,,,
"POINT (129.333066981997 35.5385781956884)","4674109589",,,,cafe,,,,,,,,,,,
"POINT (129.335108581996 35.5391016956883)","4629987923",,,,cafe,스타벅스,,,,,스타벅스,(주)스타벅스커피 코리아,,,,
"POINT (129.334182781997 35.5395374956883)","4630061336",,,,cafe,,,,,,탐앤탐스,,,,,
"POINT (129.336624581996 35.5398243956883)","4630061362",,,,cafe,,,,,,핸즈커피,,,,,
"POINT (129.337418481996 35.5406109956882)","4630061365",,,,cafe,,,,,,파스쿠찌,,,,,
"POINT (129.337214181996 35.5625717956863)","5631580523",,,,cafe,,,,,,커피나뜨래,,,,,
"POINT (129.337135481996 35.5627029956863)","4921461448",,,,cafe,,,,,,더벤티,,,,,
"POINT (129.335927581996 35.5638581956862)","4674347545",,,,cafe,,,,,,버블팝,,,,,
"POINT (129.336319381996 35.5640225956862)","4658114375",,,,cafe,,,,,,던킨도너츠,,,,,
"POINT (129.336738581996 35.5631067956863)","4739757626",,,,cafe,,,,,,더착한커피,,,,,
"POINT (129.336548881996 35.5633462956863)","4739757117",,,,cafe,,,,,,빈스브로커피,,,,,
"POINT (129.336889481996 35.5633921956863)","4655381922",,,,cafe,,,,,,차우,,,,,
"POINT (129.336857281996 35.5634276956863)","4655381921",,,,cafe,,,,,,빽다방,,,,,
"POINT (129.340983181996 35.566829995686)","4670631249",,,,cafe,,,,,,카페파스쿠찌,,,,,
"POINT (129.356254981993 35.5538492956871)","4690370148",,,,cafe,,,,,,이디야,,,,,
"POINT (129.356608081993 35.5604033956865)","6116902768",,,,cafe,,,,,,카페 파스쿠찌 명촌점,,,,,
"POINT (129.332527081997 35.6298594956806)","7733715341",,,"29",cafe,,,,,,엔제리너스 울산천곡점,,,,,
"POINT (129.345156281995 35.6297526956806)","7651045027",,,"26",cafe,,,,,,엔제리너스 홈플러스울산북구점,,,,,
"POINT (129.355413781994 35.6226682956812)","4644712691",,,,cafe,,,,,,독일베이커리,,,,,
"POINT (129.309976282 35.7705181956687)","5192963552",,,,cafe,,,,,,설레임 카페,,,,,
"POINT (129.210518882014 35.825677495664)","3759567171",,,,cafe,,,,,,,,,,,
"POINT (129.210094382014 35.8332341956633)","5382488825",,,,cafe,,,,,,캐틀앤비,,,,,
"POINT (129.209562682014 35.8350860956632)","6517560687",,,,cafe,,,,,,Café 1909,,,,,
"POINT (129.209635882014 35.8364952956631)","4296032594",,,,cafe,,,,,,Wali Gali,,,,,
"POINT (129.209773382014 35.8365699956631)","4782223321",,,,cafe,,,,,,cafe ohi,,,,,
"POINT (129.215269982013 35.8296634956637)","3759567187",,,,cafe,,,,,,,,,,,
"POINT (129.215564882013 35.8308183956635)","3759567220",,,,cafe,,,,,,,,,,,
"POINT (129.210710882014 35.8333960956633)","1780100947",,,,cafe,,,,,,Freeshade,,,,,
"POINT (129.210736582014 35.8345787956632)","6070209485",,,,cafe,,,,,,,,,,,
"POINT (129.215125182013 35.8341484956633)","4166665089",,,,cafe,스타벅스,,,,,스타벅스,(주)스타벅스커피 코리아,,,,
"POINT (129.215386582013 35.8341770956633)","5158615223",,,,cafe,스타벅스,,,,,,,,,,
"POINT (129.213236182013 35.8352701956632)","3793932634",,,,cafe,,,,,,,,,,,
"POINT (129.215456382013 35.8348459956632)","3793932632",,,,cafe,,,,,,,,,,,
"POINT (129.214758382013 35.8353945956632)","3793932633",,,,cafe,,,,,,,,,,,
"POINT (129.219105482013 35.8358274956631)","3759586195",,,,cafe,,,,,,Jay Coffee,,,,,
"POINT (129.220352182012 35.8358622956631)","3759566183",,,,cafe,,,,,,Brown Sugar,,,,,
"POINT (129.221785582012 35.8360199956631)","4401147790",,,,cafe,,,,,,,,,,,
"POINT (129.204221082015 35.8387078956629)","4406682093",,,,cafe,,,,,,,,,,,
"POINT (129.204637382015 35.8388426956629)","4458687694",,,,cafe,,,,,,,,,,,
"POINT (129.207199182014 35.8391210956628)","5625740023",,,,cafe,,,,,,,,,,,
"POINT (129.209316082014 35.8393105956628)","1780100942",,,,cafe,,,,,,,,,,,
"POINT (129.209853782014 35.8394698956628)","5160532721",,,,cafe,,,,,,,,,,,
"POINT (129.206797782014 35.8421605956626)","3774238657",,,,cafe,,,,,,Cafe Seattle,,,,,
"POINT (129.207346882014 35.8423455956626)","904021786",,,,cafe,,,,,,Paris Baguette,,,,,
"POINT (129.209950382014 35.8437578956625)","4450057191",,,,cafe,,,,,,,,,,,
"POINT (129.210398182014 35.8397737956628)","4297810200",,,,cafe,,,,,,글샘 Geulsem cafe,,,,,
"POINT (129.211748582014 35.8414664956626)","5641307021",,,,cafe,,,,,,coffeeplace,,,,,
"POINT (129.212817182013 35.8421631956626)","3756798856",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (129.214395882013 35.8418911956626)","3756798855",,,,cafe,,,,,,Soma,,,,,
"POINT (129.219382282013 35.837433795663)","4401153389",,,,cafe,,,,,,,,,,,
"POINT (129.214995282013 35.8441751956624)","4450118991",,,,cafe,,,,,,,,,,,
"POINT (129.206788882014 35.8521375956617)","5950348786",,,,cafe,,,,,,chicken cafe,,,,,
"POINT (129.206748182014 35.8530239956617)","5950349385",,,,cafe,,,,,,pizza,,,,,
"POINT (129.204965982015 35.8547235956615)","5977062786",,,,cafe,,,,,,,,,,,
"POINT (129.206701182014 35.8541796956616)","5950348788",,,,cafe,,,,,,chicken home,,,,,
"POINT (129.232537082011 35.8416334956626)","5767146453",,,,cafe,,,,,,,,,,,
"POINT (129.224041482012 35.8565322956614)","4655141981",,,44 1,cafe,,,,,,파리바게뜨 경주 시청점,,,,,
"POINT (129.280149482004 35.8473293956621)","6836720285",,,,cafe,,,,,,,,,,,
"POINT (129.269073382006 35.8530806956617)","5385207521",,,,cafe,,,,,,캐틀앤비 보문호수점,,,,,
"POINT (128.01774268218 36.1150397956396)","5624228823",,,,cafe,,,,,,,,,,,
"POINT (128.01868458218 36.1212000956391)","5624228822",,,,cafe,,,,,,,,,,,
"POINT (128.115150582166 36.122774795639)","7092449087",,,,cafe,,,,,,,,,,,
"POINT (128.120653082165 36.1268802956387)","4636734113",,,,cafe,,,,,,예글쿡,,,,,
"POINT (128.190398882156 36.1175576956394)","5290891163",,,,cafe,,,,,,팀버커피,,,,,
"POINT (128.190405082156 36.1214249956391)","4647365852",,,,cafe,,,,,,투썸플레이스,,,,,
"POINT (128.559029882104 35.8788083956595)","6444719442",,,,cafe,,,,,,도도커피,,,,,
"POINT (128.571527082103 35.8781038956595)","4637761769",,,,cafe,,,,,,커피판다,,,,,
"POINT (128.575371482102 35.8784277956595)","4639594158",,,,cafe,,,,,,,,,,,
"POINT (128.546090482106 35.9267128956555)","4631181018",,,,cafe,카페베네,,,,,카페베네,Caffe Bene,,,,
"POINT (128.585569882101 35.860853695661)","6435146609",,,,cafe,,,,,,커피집,,,,,
"POINT (128.585602582101 35.860933195661)","6435147276",,,,cafe,,,,,,커피집,,,,,
"POINT (128.586193282101 35.8621262956609)","6435093959",,,,cafe,,,,,,까페(only take out),,,,,
"POINT (128.5920566821 35.8660509956606)","5644909542",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (128.5895594821 35.8668749956605)","5117370108",,,,cafe,,,,,,,,,,,
"POINT (128.5944794821 35.8655772956606)","1570467857",,,2109-2,cafe,,,,,,Ti-amo,,,,,
"POINT (128.5935203821 35.8671918956605)","4487663692",,,,cafe,스타벅스,,,,,,,,,,
"POINT (128.5937762821 35.8672214956605)","4487691989",,,,cafe,스타벅스,,,,,,,,,,
"POINT (128.80903788207 35.1765358957195)","3098946550",,,,cafe,,,,,,오가다(O gada),,,,,
"POINT (128.80920148207 35.1768010957195)","3098946540",,,,cafe,,,,,,용감한 카페,,,,,
"POINT (128.80942408207 35.1764283957195)","3098946539",,,,cafe,,,,,,angel,,,,,
"POINT (128.80957698207 35.1766454957195)","3098942927",,,,cafe,,,,,,Mr.cream,,,,,
"POINT (128.810204582069 35.1764831957195)","3098946542",,,,cafe,,,,,,빈스앤피플(Beens & people),,,,,
"POINT (128.810719682069 35.1766167957195)","3157371109",,,,cafe,,,,,,대익차,,,,,
"POINT (128.810684582069 35.1768031957195)","3098946553",,,,cafe,,,,,,토토로의 숲 힐링카페(totoro cafe),,,,,
"POINT (128.811159582069 35.1766004957195)","3150184054",,,,cafe,,,,,,Cafe Rothy,,,,,
"POINT (128.811697082069 35.1767453957195)","3110492397",,,,cafe,,,,,,옥루몽,,,,,
"POINT (128.80939728207 35.1769348957195)","3098946541",,,,cafe,,,,,,듀팜므(deux femmes),,,,,
"POINT (128.596666882099 35.8657620956606)","3851066159",,,,cafe,,,,,,Cafe Anna,,,,,
"POINT (128.595752382099 35.861252895661)","6819846988",,,,cafe,,,,,,,,,,,
"POINT (128.598736582099 35.8596954956611)","6819837287",,,,cafe,,,,,,,,,,,
"POINT (128.604618382098 35.8596776956611)","2490908001",,,,cafe,,,,,,Zart,,,,,
"POINT (128.604934582098 35.861025695661)","3812502179",,,,cafe,,,,,,Cactus,,,,,
"POINT (128.596835082099 35.8656416956606)","2184980985",,,,cafe,,,,,,카페 캐나다,,,,,
"POINT (128.596616182099 35.8675395956605)","6816904086",,,,cafe,,,,,,,,,,,
"POINT (128.598256682099 35.8673584956605)","4336920890",,,,cafe,,,,,,커피명가 본점,,,,,
"POINT (128.597050182099 35.8687406956603)","484546618",,,,cafe,,,,,,Holly's Coffee,,,,,
"POINT (128.600480182099 35.8698211956602)","6816904199",,,,cafe,,,,,,,,,,,
"POINT (128.597072582099 35.8688495956603)","484546622",,,,cafe,,,,,,Angel-in-Us Coffee,,,,,
"POINT (128.595339482099 35.8698437956603)","4336512789",,,,cafe,,,,,,최가네케익,,,,,
"POINT (128.596970382099 35.8690754956603)","484546631",,,,cafe,,,,,,DaVinci Coffee,,,,,
"POINT (128.596971582099 35.8691977956603)","5926167185",,,,cafe,,,,,,놀이터,,,,,
"POINT (128.596423382099 35.8796750956594)","7270946985",,,,cafe,,,,,,,,,,,
"POINT (128.5939854821 35.8707927956602)","5335728721",,,,cafe,,,,,,오차야미테,,,,,
"POINT (128.5918415821 35.8741568956599)","4336854594",,,,cafe,,,,,,믹스카페,,,,,
"POINT (128.5941801821 35.8780754956595)","4639190522",,,,cafe,,,,,,요거프레소,,,,,
"POINT (128.606794182098 35.861031895661)","3812501154",,,,cafe,,,,,,,,,,,
"POINT (128.5884899821 35.8831444956591)","6413224885",,,"41",cafe,,,,,,빌리웍스,,,,,
"POINT (128.607893982098 35.8636619956608)","6819846986",,,,cafe,,,,,,,,,,,
"POINT (128.5884817821 35.8831543956591)","6413212287",,,"41",cafe,,,,,,빌리웍스,,,,,
"POINT (128.5884998821 35.8831606956591)","6413212286",,,"41",cafe,,,,,,빌리웍스,,,,,
"POINT (128.5907659821 35.8886149956587)","4640452858",,,,cafe,,,,,,,,,,,
"POINT (128.5910260821 35.8887231956587)","4640452856",,,,cafe,,,,,,,,,,,
"POINT (128.5912479821 35.8892429956586)","4640464309",,,,cafe,,,,,,,,,,,
"POINT (128.608605682098 35.8923005956584)","5524926490",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (128.608746882098 35.8923710956583)","5539961474",,,,cafe,,,,,,카페 파스쿠찌,,,,,
